epoch,train_loss,val_loss
1,0.5691832208786775,0.5276219248771667
2,0.5284713791876147,0.5249828100204468
3,0.5253076602304381,0.5240207314491272
4,0.5215340417925908,0.5233537554740906
5,0.5209826302898815,0.5233333110809326
6,0.5181812119588838,0.5232235789299011
7,0.5156706196182905,0.5224031805992126
8,0.5138332521675782,0.5238128900527954
9,0.5158608756528344,0.522985577583313
10,0.5143245250482884,0.5220905542373657
11,0.5125002741129884,0.5229271054267883
12,0.5120751453467001,0.5232865214347839
13,0.5106327713229591,0.5233871340751648
14,0.5127630803090742,0.5235572457313538
15,0.5093787231118428,0.5232876539230347
