feature,importance
diff_totalGolds,0.274746
diff_totalLevel,0.11510114
diff_avgLevel,0.11047894
diff_kill,0.057177234
diff_objectiveScore,0.025916765
redDragon,0.02275867
diff_dragon,0.02146582
blueKDA,0.020591848
diff_KDA,0.01855962
blueDragon,0.017875709
blueTotalGolds,0.017856183
redKDA,0.016895315
redTotalJungleMinionKills,0.014062178
redInhibitor,0.013347803
blueFirstInhibitor,0.013023819
redFirstInhibitor,0.012451864
redAvgLevel,0.012316964
blueKill,0.0120297605
blueDeath,0.011204043
diff_inhibitor,0.011129465
redTotalLevel,0.010165194
diff_midTowerKills,0.009860493
blueTotalMinionKills,0.009798932
diff_firstInhibitor,0.009064644
diff_goldPerMinion,0.0087907715
blueDragonType_WATER_DRAGON,0.008719637
redDragonType_WATER_DRAGON,0.00860845
redMidTowerKills,0.008405027
blueObjectiveScore,0.008146283
diff_wardPlaced,0.0078285765
redDragonType_FIRE_DRAGON,0.0076761274
blueCurrentGolds,0.0074626273
redTotalGolds,0.0073145977
diff_totalJungleMinionKills,0.0072098547
redWardKills,0.0070040487
diff_totalMinionKills,0.0068544266
redAssist,0.006650351
blueGoldPerMinion,0.006553572
redTotalMinionKills,0.006283198
blueTotalJungleMinionKills,0.0058678584
redObjectiveScore,0.0052135433
redTowerKills,0.0040916037
redWardPlaced,0.0032706293
blueWardPlaced,0.0029533487
blueAssist,0.0027624185
redCurrentGolds,0.0023521094
redDragonType_EARTH_DRAGON,0.0021025613
blueFirstTowerLane_BOT_LANE,0.0
blueFirstBlood,0.0
redDragonType_ELDER_DRAGON,0.0
redGoldPerMinion,0.0
blueAvgLevel,0.0
blueTotalLevel,0.0
blueFirstTowerLane_MID_LANE,0.0
redDragonType_AIR_DRAGON,0.0
redFirstTowerLane_BOT_LANE,0.0
redFirstTowerLane_MID_LANE,0.0
redFirstTowerLane_TOP_LANE,0.0
diff_riftHeralds,0.0
blueDragonType_AIR_DRAGON,0.0
blueDragonType_EARTH_DRAGON,0.0
blueDragonType_ELDER_DRAGON,0.0
blueDragonType_FIRE_DRAGON,0.0
blueFirstTowerLane_TOP_LANE,0.0
blueTowerKills,0.0
blueWardKills,0.0
diff_firstDragon,0.0
redKill,0.0
redDeath,0.0
redFirstTower,0.0
redTopTowerKills,0.0
redBotTowerKills,0.0
redFirstDragon,0.0
blueRiftHeralds,0.0
redRiftHeralds,0.0
blueFirstDragon,0.0
blueInhibitor,0.0
blueBotTowerKills,0.0
diff_firstBlood,0.0
blueTopTowerKills,0.0
diff_death,0.0
diff_assist,0.0
diff_wardKills,0.0
diff_firstTower,0.0
blueMidTowerKills,0.0
diff_towerKills,0.0
redFirstBlood,0.0
diff_topTowerKills,0.0
diff_botTowerKills,0.0
blueFirstTower,0.0
diff_currentGolds,0.0
