epoch,train_loss,val_loss,val_accuracy,val_roc_auc,learning_rate
1,0.49993054102116036,0.4441576302051544,0.7907482148401118,0.8776559445736031,0.001
2,0.43274953838543556,0.43663954734802246,0.7876435889475318,0.8789425186316125,0.001
3,0.4229507304839916,0.4338763654232025,0.7888854393045638,0.8798508699893202,0.001
4,0.41592445587701576,0.4351411461830139,0.7932319155541757,0.879889424800768,0.001
5,0.41528870799909173,0.43423521518707275,0.7901272896615957,0.8794576109125538,0.001
6,0.4156102969806393,0.43045175075531006,0.7916796026078857,0.8815241488061503,0.001
7,0.41348412406884905,0.43308115005493164,0.7895063644830798,0.8800856687910368,0.001
8,0.4110789825672462,0.4333244562149048,0.7904377522508538,0.8808968620238964,0.001
9,0.40882411951638753,0.4322337210178375,0.7882645141260478,0.8806067370677524,0.001
10,0.4105165361162472,0.4322364926338196,0.7913691400186278,0.8808791268106303,0.001
11,0.4050596440118041,0.43348056077957153,0.7932319155541757,0.8809365734796873,0.001
12,0.4062889920839364,0.43295344710350037,0.7907482148401118,0.8802100080579555,0.001
13,0.40221729592692623,0.4344530701637268,0.7885749767153059,0.8799626789425186,0.0005
14,0.40162253991025826,0.43389761447906494,0.7913691400186278,0.8800110652308855,0.0005
15,0.40215153955752087,0.43306517601013184,0.7919900651971438,0.8803732876844366,0.0005
