epoch,train_loss,val_loss
1,0.5000170164270045,0.44411998987197876
2,0.43283417663147716,0.4365382194519043
3,0.4228745106410447,0.4338832199573517
4,0.41607472709523313,0.43527305126190186
5,0.41537040527564945,0.43454623222351074
6,0.4157603962744431,0.43027910590171814
7,0.413407460921665,0.43335044384002686
8,0.41081027696886097,0.43349456787109375
9,0.408519494050717,0.4319995641708374
10,0.40998664211837477,0.43200644850730896
11,0.4049052541309264,0.4334622025489807
12,0.40631044540477923,0.43327897787094116
13,0.4044028270385721,0.4352298974990845
14,0.40307618885869767,0.4351009726524353
15,0.4048186286942525,0.4321238696575165
