epoch,train_loss,val_loss,val_accuracy,val_roc_auc,learning_rate
1,0.5693155377729835,0.5277060866355896,0.7328075709779179,0.8149831482969768,0.001
2,0.5287023955682155,0.524614691734314,0.7318611987381703,0.8144429862324353,0.001
3,0.5252148143305255,0.5239454507827759,0.7340694006309149,0.8143860642167908,0.001
4,0.5215556566401368,0.5235022902488708,0.7328075709779179,0.8144011903468222,0.001
5,0.5212064115754306,0.5235869884490967,0.7337539432176656,0.8141504150331441,0.001
6,0.518419883581394,0.5235779285430908,0.7312302839116719,0.8149489154763797,0.001
7,0.5156924976364252,0.5228838920593262,0.7324921135646688,0.8140007459570442,0.001
8,0.5137647783569711,0.5239577293395996,0.7305993690851735,0.8140735902148268,0.001
9,0.5158118124547764,0.5234512686729431,0.7318611987381703,0.8143800933759889,0.001
10,0.5140894982645771,0.5229336619377136,0.7347003154574132,0.8149019448620716,0.001
11,0.512290115018076,0.5225970149040222,0.7334384858044164,0.815462009729286,0.001
12,0.5119359143899439,0.5235602259635925,0.7350157728706624,0.8144680637638031,0.001
13,0.5107421358351174,0.5242830514907837,0.7340694006309149,0.8136313499394358,0.001
14,0.5124829357435279,0.5254969596862793,0.7324921135646688,0.8136118451928163,0.001
15,0.5093134437875598,0.5238020420074463,0.7315457413249211,0.8140095031902201,0.001
