feature,importance
diff_totalGolds,0.30066818
diff_avgLevel,0.112961
diff_totalLevel,0.10624934
blueObjectiveScore,0.030605458
diff_dragon,0.025860244
diff_objectiveScore,0.024638657
blueDragon,0.02297489
redDragon,0.02249949
diff_firstDragon,0.020086112
diff_kill,0.018971028
diff_KDA,0.017216073
blueTotalGolds,0.016570348
redKDA,0.014394954
diff_firstInhibitor,0.01345222
blueTotalMinionKills,0.012963564
redDragonType_WATER_DRAGON,0.0129478
blueDragonType_FIRE_DRAGON,0.012809957
redFirstInhibitor,0.012476462
redMidTowerKills,0.012212405
diff_goldPerMinion,0.011898728
blueFirstInhibitor,0.0116481865
blueKDA,0.011101712
diff_inhibitor,0.010833003
redTotalLevel,0.008966037
redDragonType_EARTH_DRAGON,0.008788424
diff_currentGolds,0.007997912
blueDragonType_WATER_DRAGON,0.007862424
blueTopTowerKills,0.0072482442
redDragonType_FIRE_DRAGON,0.0071303193
redObjectiveScore,0.006896191
diff_totalJungleMinionKills,0.00688628
redTotalMinionKills,0.00669823
blueWardPlaced,0.0066885594
blueKill,0.0066200304
redWardPlaced,0.0063657626
diff_topTowerKills,0.006034172
redKill,0.0057051866
blueTotalLevel,0.005528135
diff_midTowerKills,0.0053907214
diff_totalMinionKills,0.0052517136
blueTotalJungleMinionKills,0.005131655
blueGoldPerMinion,0.0050412
blueMidTowerKills,0.0043995758
redTotalGolds,0.004313543
diff_wardPlaced,0.004029168
redCurrentGolds,0.0034638175
diff_assist,0.0010330898
redWardKills,0.0004897821
blueTowerKills,0.0
blueFirstDragon,0.0
blueWardKills,0.0
blueFirstBlood,0.0
blueAvgLevel,0.0
blueDeath,0.0
blueCurrentGolds,0.0
blueAssist,0.0
blueFirstTower,0.0
blueBotTowerKills,0.0
blueInhibitor,0.0
redAvgLevel,0.0
blueRiftHeralds,0.0
diff_wardKills,0.0
diff_death,0.0
redRiftHeralds,0.0
diff_firstBlood,0.0
redDeath,0.0
redTotalJungleMinionKills,0.0
redFirstTower,0.0
redAssist,0.0
redFirstBlood,0.0
redTowerKills,0.0
redTopTowerKills,0.0
redBotTowerKills,0.0
redInhibitor,0.0
redFirstDragon,0.0
diff_towerKills,0.0
diff_firstTower,0.0
diff_botTowerKills,0.0
diff_riftHeralds,0.0
redGoldPerMinion,0.0
blueFirstTowerLane_BOT_LANE,0.0
blueFirstTowerLane_TOP_LANE,0.0
blueFirstTowerLane_MID_LANE,0.0
blueDragonType_EARTH_DRAGON,0.0
blueDragonType_AIR_DRAGON,0.0
redFirstTowerLane_TOP_LANE,0.0
redFirstTowerLane_MID_LANE,0.0
redFirstTowerLane_BOT_LANE,0.0
blueDragonType_ELDER_DRAGON,0.0
redDragonType_AIR_DRAGON,0.0
redDragonType_ELDER_DRAGON,0.0
